Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
61	1	-3736.324	-3720.873	-15.45111	0.29072	0.209992	0.2450972	-0.06530749	0.0173239	0.476657	0.0110888	0.00544496	0.479604	0.00988231	0.1275308	0.000737773	0.0397314	0.409229	3.5503	0.293002	0.286856	0.145742	0.2744	0.06222327	2.049567
62	0	-3739.779	-3722.392	-17.38669	0.2090085	0.1691529	0.2960711	0.2498816	0.0193975	0.567702	0.00608606	0.0043633	0.39342	0.00903105	0.06444435	0.000150717	0.0180851	0.298562	3.6832	0.270772	0.311366	0.139422	0.27844	0.314326	0.2050239
63	1	-3740.533	-3723.62	-16.91225	0.2553837	0.1974107	0.3062275	-0.2629575	0.0101256	0.496595	0.00677494	0.00567272	0.470537	0.0102957	0.2824369	0.000485205	0.0322952	0.376866	3.59035	0.305146	0.292288	0.13213	0.270435	0.01947949	14.4992
64	0	-3739.759	-3721.622	-18.13714	0.2099979	0.163586	0.3758267	0.3531102	0.0112419	0.598191	0.00394903	0.00459763	0.369851	0.012169	0.01131868	0.000114127	0.0157509	0.28232	3.70181	0.300405	0.30828	0.11512	0.276195	0.3644289	0.03105868
65	1	-3740.155	-3724.298	-15.85621	0.2780617	0.2357528	0.2649717	-0.1243272	0.0104309	0.516981	0.00585841	0.00877664	0.446205	0.0117484	0.1715	0.00151292	0.0566116	0.470462	3.47141	0.309762	0.287957	0.133549	0.268732	0.04717281	3.635569
66	0	-3744.225	-3725.224	-19.0017	0.2351095	0.2014052	0.2673836	0.5537373	0.0144858	0.520543	0.00722078	0.00831079	0.438188	0.0112509	0.02561643	0.000557415	0.0345901	0.387315	3.57754	0.266794	0.32522	0.127924	0.280062	0.5793537	0.04421554
67	1	-3739.902	-3723.362	-16.53958	0.2769648	0.1854214	0.2832524	-0.2280016	0.0116331	0.491557	0.00491633	0.0113901	0.468776	0.0117271	0.2523224	0.000308632	0.0258111	0.344553	3.62933	0.310843	0.297944	0.138172	0.253041	0.02432084	10.37474
68	0	-3740.586	-3724.55	-16.03634	0.2646871	0.2018646	0.2546727	0.2085881	0.0131107	0.553137	0.00440471	0.0206714	0.39659	0.0120861	0.02128199	0.000566181	0.0348581	0.388507	3.57607	0.306524	0.29119	0.124069	0.278218	0.2298701	0.09258266
69	1	-3739.151	-3722.226	-16.92487	0.2204528	0.2248011	0.3042041	-0.164155	0.0126657	0.464259	0.00659429	0.00904479	0.499104	0.00833214	0.2340558	0.00113757	0.049196	0.445252	3.50441	0.288482	0.278139	0.149767	0.283613	0.06990084	3.348397
70	0	-3743.346	-3728.802	-14.54391	0.2764135	0.1856693	0.27302	-0.004021361	0.0102678	0.434022	0.00565417	0.0146574	0.523358	0.0120405	0.02673662	0.000311717	0.0259387	0.345235	3.62851	0.284306	0.312906	0.134755	0.268033	0.02271526	1.177033
71	1	-3742.464	-3726.492	-15.97204	0.2206401	0.2359569	0.2944593	0.0161073	0.00852366	0.510933	0.00676727	0.0122249	0.45284	0.00871167	0.09384943	0.0015206	0.0567528	0.47092	3.47081	0.274845	0.31638	0.136198	0.272577	0.1099567	0.8535123
72	0	-3738.696	-3723.696	-15.00039	0.2661163	0.2221741	0.2699935	0.01561221	0.0107066	0.523257	0.00803999	0.0120517	0.434605	0.0113399	0.04641057	0.00105792	0.0474667	0.439025	3.51245	0.294294	0.292523	0.119003	0.29418	0.06202278	0.7482826
73	1	-3740.625	-3722.32	-18.30455	0.2146958	0.1925934	0.3079792	0.05717068	0.0123585	0.520904	0.0031224	0.0164544	0.437059	0.0101016	0.2029386	0.00040731	0.0296148	0.364052	3.60593	0.292335	0.317389	0.119347	0.270929	0.2601093	0.7802052
74	0	-3738.149	-3722.544	-15.60451	0.2891705	0.2010192	0.2519097	-0.0792912	0.0136877	0.52334	0.00613563	0.0149113	0.434674	0.00725208	0.1403491	0.000550125	0.0343656	0.386313	3.57877	0.284501	0.317507	0.122803	0.275188	0.06105786	2.298624
75	1	-3738.272	-3722.185	-16.08711	0.2169177	0.1962373	0.3138174	-0.04184924	0.00984342	0.565818	0.00355187	0.0187176	0.393076	0.00899303	0.1172704	0.000465326	0.0316334	0.373766	3.59413	0.307276	0.313276	0.118157	0.261291	0.07542119	1.554874
76	0	-3742.899	-3726.633	-16.26517	0.2718249	0.1813582	0.2566895	0.02770277	0.0101238	0.529041	0.00734485	0.00847265	0.439409	0.00560847	0.1186747	0.000261181	0.0237604	0.333288	3.64269	0.31762	0.303833	0.134526	0.244021	0.1463775	0.8107443
77	1	-3744.71	-3726.198	-18.51144	0.2206658	0.2069124	0.3729446	0.291632	0.00885546	0.498471	0.00244473	0.0130423	0.473274	0.00391244	0.06015031	0.000668998	0.037856	0.401456	3.56002	0.295259	0.332735	0.117074	0.254932	0.3517823	0.1709873
