Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
750	-3746.52	-3731.508	-15.01136	0.2969546	0.2223736	0.2651956	0.05607775	0.0189131	0.617682	0.00323317	0.000413547	0.352787	0.00697065	0.02784871	0.00106383	0.0475973	0.439501	3.51184	0.299969	0.283251	0.111845	0.304935	0.08392646	0.3318227
760	-3745.673	-3726.95	-18.72253	0.3040124	0.2136494	0.2373933	-0.3488412	0.0141738	0.593364	0.00285949	0.000816359	0.382178	0.00660825	0.4559118	0.000825653	0.0420022	0.418334	3.53884	0.301446	0.303302	0.113493	0.281759	0.1070705	4.258051
770	-3741.512	-3726.038	-15.47362	0.3238113	0.2102298	0.234732	0.0537008	0.0201866	0.522856	0.00329639	0.00260249	0.444262	0.00679648	0.07277082	0.00074328	0.0398777	0.409825	3.54955	0.293343	0.289776	0.148185	0.268696	0.1264716	0.5753925
780	-3747.256	-3729.948	-17.30792	0.3166258	0.2082863	0.2360533	-0.2553564	0.0197809	0.510892	0.0150247	0.00593408	0.435332	0.0130364	0.329754	0.000699101	0.0386885	0.404936	3.55568	0.293244	0.306497	0.133986	0.266272	0.0743976	4.432321
790	-3741.57	-3723.003	-18.56782	0.3108718	0.2043081	0.252098	0.5222383	0.0146274	0.456817	0.00833042	0.00594248	0.506279	0.00800385	0.008203746	0.000614447	0.0362972	0.394808	3.56828	0.298073	0.305522	0.130979	0.265425	0.530442	0.01546587
800	-3738.474	-3723.418	-15.05631	0.3012257	0.237394	0.2622574	0.08835696	0.0128165	0.488459	0.0087184	0.00482259	0.480947	0.00423636	0.01681495	0.00157539	0.0577494	0.474137	3.46654	0.305794	0.281964	0.137425	0.274817	0.1051719	0.1598806
810	-3737.467	-3723.147	-14.32066	0.303635	0.1673875	0.2338172	0.04696642	0.0100419	0.58714	0.0133443	0.00769063	0.376826	0.00495649	0.01159574	0.000138272	0.0173271	0.293437	3.6891	0.299725	0.299653	0.126536	0.274086	0.05856216	0.1980073
820	-3745.967	-3726.987	-18.97967	0.2921537	0.2395398	0.2303822	-0.2651797	0.0153453	0.551748	0.0140318	0.0149953	0.39624	0.00763901	0.4381462	0.00165958	0.0592468	0.478901	3.46019	0.286447	0.302779	0.117499	0.293275	0.1729665	2.533128
830	-3750.076	-3734.194	-15.88191	0.294746	0.2418616	0.2302552	0.2034543	0.0225012	0.572854	0.0148847	0.0106642	0.371986	0.00710989	0.02898242	0.00175392	0.0608788	0.484006	3.45336	0.292718	0.295201	0.14112	0.270961	0.2324368	0.1246895
840	-3747.105	-3729.352	-17.75239	0.301257	0.2339695	0.2163218	-0.2094185	0.020149	0.48785	0.00671476	0.00655224	0.466782	0.0119517	0.3409725	0.00144692	0.0553827	0.466439	3.47673	0.274759	0.302702	0.15311	0.269429	0.131554	2.591883
